areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2020-11-23,1527495,74294
K02000001,United Kingdom,overview,2020-11-22,1512045,73786
K02000001,United Kingdom,overview,2020-11-21,1493383,73274
K02000001,United Kingdom,overview,2020-11-20,1473508,72776
K02000001,United Kingdom,overview,2020-11-19,1453256,72291
K02000001,United Kingdom,overview,2020-11-18,1430341,71806
K02000001,United Kingdom,overview,2020-11-17,1410732,71292
K02000001,United Kingdom,overview,2020-11-16,1390681,70826
K02000001,United Kingdom,overview,2020-11-15,1369318,70395
K02000001,United Kingdom,overview,2020-11-14,1344356,69938
K02000001,United Kingdom,overview,2020-11-13,1317496,69479
K02000001,United Kingdom,overview,2020-11-12,1290195,69029
K02000001,United Kingdom,overview,2020-11-11,1256725,68599
K02000001,United Kingdom,overview,2020-11-10,1233775,68190
K02000001,United Kingdom,overview,2020-11-09,1213363,67780
K02000001,United Kingdom,overview,2020-11-08,1192013,67287
K02000001,United Kingdom,overview,2020-11-07,1171441,66854
K02000001,United Kingdom,overview,2020-11-06,1146484,66437
K02000001,United Kingdom,overview,2020-11-05,1123197,66020
K02000001,United Kingdom,overview,2020-11-04,1099059,65632
K02000001,United Kingdom,overview,2020-11-03,1073882,65292
K02000001,United Kingdom,overview,2020-11-02,1053864,64915
K02000001,United Kingdom,overview,2020-11-01,1034914,64577
K02000001,United Kingdom,overview,2020-10-31,1011660,64218
K02000001,United Kingdom,overview,2020-10-30,989745,63878
K02000001,United Kingdom,overview,2020-10-29,965340,63526
K02000001,United Kingdom,overview,2020-10-28,942275,63206
K02000001,United Kingdom,overview,2020-10-27,917575,62925
K02000001,United Kingdom,overview,2020-10-26,894690,62640
K02000001,United Kingdom,overview,2020-10-25,873800,62358
K02000001,United Kingdom,overview,2020-10-24,854010,62103
K02000001,United Kingdom,overview,2020-10-23,830998,61884
K02000001,United Kingdom,overview,2020-10-22,810467,61659
K02000001,United Kingdom,overview,2020-10-21,789229,61417
K02000001,United Kingdom,overview,2020-10-20,762542,61185
K02000001,United Kingdom,overview,2020-10-19,741212,60975
K02000001,United Kingdom,overview,2020-10-18,722409,60782
K02000001,United Kingdom,overview,2020-10-17,705428,60615
K02000001,United Kingdom,overview,2020-10-16,689257,60429
K02000001,United Kingdom,overview,2020-10-15,673622,60267
K02000001,United Kingdom,overview,2020-10-14,654644,60115
K02000001,United Kingdom,overview,2020-10-13,634920,59992
K02000001,United Kingdom,overview,2020-10-12,617688,59873
K02000001,United Kingdom,overview,2020-10-11,603716,59753
K02000001,United Kingdom,overview,2020-10-10,590844,59625
K02000001,United Kingdom,overview,2020-10-09,575679,59518
K02000001,United Kingdom,overview,2020-10-08,561815,59422
K02000001,United Kingdom,overview,2020-10-07,544275,59325
K02000001,United Kingdom,overview,2020-10-06,530113,59215
K02000001,United Kingdom,overview,2020-10-05,515571,59131
K02000001,United Kingdom,overview,2020-10-04,502978,59063
K02000001,United Kingdom,overview,2020-10-03,480017,59000
K02000001,United Kingdom,overview,2020-10-02,467146,58930
K02000001,United Kingdom,overview,2020-10-01,460178,58856
K02000001,United Kingdom,overview,2020-09-30,453264,58785
K02000001,United Kingdom,overview,2020-09-29,446156,58724
K02000001,United Kingdom,overview,2020-09-28,439013,58676
K02000001,United Kingdom,overview,2020-09-27,434969,58621
K02000001,United Kingdom,overview,2020-09-26,429277,58565
K02000001,United Kingdom,overview,2020-09-25,423236,58518
K02000001,United Kingdom,overview,2020-09-24,416363,58478
K02000001,United Kingdom,overview,2020-09-23,409729,58444
K02000001,United Kingdom,overview,2020-09-22,403551,58386
K02000001,United Kingdom,overview,2020-09-21,398625,58347
K02000001,United Kingdom,overview,2020-09-20,394257,58317
K02000001,United Kingdom,overview,2020-09-19,390358,58277
K02000001,United Kingdom,overview,2020-09-18,385936,58252
K02000001,United Kingdom,overview,2020-09-17,381614,58222
K02000001,United Kingdom,overview,2020-09-16,378219,58184
K02000001,United Kingdom,overview,2020-09-15,374228,58153
K02000001,United Kingdom,overview,2020-09-14,371125,58127
K02000001,United Kingdom,overview,2020-09-13,368504,58106
K02000001,United Kingdom,overview,2020-09-12,365174,58086
K02000001,United Kingdom,overview,2020-09-11,361677,58063
K02000001,United Kingdom,overview,2020-09-10,358138,58043
K02000001,United Kingdom,overview,2020-09-09,355219,58027
K02000001,United Kingdom,overview,2020-09-08,352560,58013
K02000001,United Kingdom,overview,2020-09-07,350100,57997
K02000001,United Kingdom,overview,2020-09-06,347152,57973
K02000001,United Kingdom,overview,2020-09-05,344164,57960
K02000001,United Kingdom,overview,2020-09-04,342351,57946
K02000001,United Kingdom,overview,2020-09-03,340411,57931
K02000001,United Kingdom,overview,2020-09-02,338676,57922
K02000001,United Kingdom,overview,2020-09-01,337168,57907
K02000001,United Kingdom,overview,2020-08-31,335873,57896
K02000001,United Kingdom,overview,2020-08-30,334467,57878
K02000001,United Kingdom,overview,2020-08-29,332752,57867
K02000001,United Kingdom,overview,2020-08-28,331644,57859
K02000001,United Kingdom,overview,2020-08-27,330368,57847
K02000001,United Kingdom,overview,2020-08-26,328846,57835
K02000001,United Kingdom,overview,2020-08-25,327798,57819
K02000001,United Kingdom,overview,2020-08-24,326614,57797
K02000001,United Kingdom,overview,2020-08-23,325761,57787
K02000001,United Kingdom,overview,2020-08-22,324601,57770
K02000001,United Kingdom,overview,2020-08-21,323313,57758
K02000001,United Kingdom,overview,2020-08-20,322280,57748
K02000001,United Kingdom,overview,2020-08-19,321098,57732
K02000001,United Kingdom,overview,2020-08-18,320286,57719
K02000001,United Kingdom,overview,2020-08-17,319197,57704
K02000001,United Kingdom,overview,2020-08-16,318484,57683
K02000001,United Kingdom,overview,2020-08-15,317444,57668
K02000001,United Kingdom,overview,2020-08-14,316367,57645
K02000001,United Kingdom,overview,2020-08-13,314927,57627
K02000001,United Kingdom,overview,2020-08-12,313798,57604
K02000001,United Kingdom,overview,2020-08-11,312789,57580
K02000001,United Kingdom,overview,2020-08-10,311641,57560
K02000001,United Kingdom,overview,2020-08-09,310825,57535
K02000001,United Kingdom,overview,2020-08-08,309763,57516
K02000001,United Kingdom,overview,2020-08-07,309005,57494
K02000001,United Kingdom,overview,2020-08-06,308134,57470
K02000001,United Kingdom,overview,2020-08-05,307184,57449
K02000001,United Kingdom,overview,2020-08-04,306293,57436
K02000001,United Kingdom,overview,2020-08-03,305623,57409
K02000001,United Kingdom,overview,2020-08-02,304685,57386
K02000001,United Kingdom,overview,2020-08-01,303942,57369
K02000001,United Kingdom,overview,2020-07-31,303181,57349
K02000001,United Kingdom,overview,2020-07-30,302301,57318
K02000001,United Kingdom,overview,2020-07-29,301455,57301
K02000001,United Kingdom,overview,2020-07-28,300692,57273
K02000001,United Kingdom,overview,2020-07-27,300111,57247
K02000001,United Kingdom,overview,2020-07-26,299426,57229
K02000001,United Kingdom,overview,2020-07-25,298681,57197
K02000001,United Kingdom,overview,2020-07-24,297914,57174
K02000001,United Kingdom,overview,2020-07-23,297146,57155
K02000001,United Kingdom,overview,2020-07-22,296377,57119
K02000001,United Kingdom,overview,2020-07-21,295817,57085
K02000001,United Kingdom,overview,2020-07-20,295372,57054
K02000001,United Kingdom,overview,2020-07-19,294792,57023
K02000001,United Kingdom,overview,2020-07-18,294066,56999
K02000001,United Kingdom,overview,2020-07-17,293239,56968
K02000001,United Kingdom,overview,2020-07-16,292552,56934
K02000001,United Kingdom,overview,2020-07-15,291911,56913
K02000001,United Kingdom,overview,2020-07-14,291373,56872
K02000001,United Kingdom,overview,2020-07-13,290133,56830
K02000001,United Kingdom,overview,2020-07-12,289603,56785
K02000001,United Kingdom,overview,2020-07-11,288953,56753
K02000001,United Kingdom,overview,2020-07-10,288133,56715
K02000001,United Kingdom,overview,2020-07-09,287621,56671
K02000001,United Kingdom,overview,2020-07-08,286979,56610
K02000001,United Kingdom,overview,2020-07-07,286349,56563
K02000001,United Kingdom,overview,2020-07-06,285768,56520
K02000001,United Kingdom,overview,2020-07-05,285416,56466
K02000001,United Kingdom,overview,2020-07-04,284900,56414
K02000001,United Kingdom,overview,2020-07-03,284276,56362
K02000001,United Kingdom,overview,2020-07-02,283757,56314
K02000001,United Kingdom,overview,2020-07-01,313483,56253
K02000001,United Kingdom,overview,2020-06-30,312654,56199
K02000001,United Kingdom,overview,2020-06-29,311965,56118
K02000001,United Kingdom,overview,2020-06-28,311151,56049
K02000001,United Kingdom,overview,2020-06-27,310250,55978
K02000001,United Kingdom,overview,2020-06-26,309360,55905
K02000001,United Kingdom,overview,2020-06-25,307980,55826
K02000001,United Kingdom,overview,2020-06-24,306862,55718
K02000001,United Kingdom,overview,2020-06-23,306210,55617
K02000001,United Kingdom,overview,2020-06-22,305289,55520
K02000001,United Kingdom,overview,2020-06-21,304331,55437
K02000001,United Kingdom,overview,2020-06-20,303110,55357
K02000001,United Kingdom,overview,2020-06-19,301815,55270
K02000001,United Kingdom,overview,2020-06-18,300469,55182
K02000001,United Kingdom,overview,2020-06-17,299251,55092
K02000001,United Kingdom,overview,2020-06-16,298136,54987
K02000001,United Kingdom,overview,2020-06-15,296857,54867
K02000001,United Kingdom,overview,2020-06-14,295889,54760
K02000001,United Kingdom,overview,2020-06-13,294375,54624
K02000001,United Kingdom,overview,2020-06-12,292950,54523
K02000001,United Kingdom,overview,2020-06-11,291409,54388
K02000001,United Kingdom,overview,2020-06-10,290143,54267
K02000001,United Kingdom,overview,2020-06-09,289140,54101
K02000001,United Kingdom,overview,2020-06-08,287399,53964
K02000001,United Kingdom,overview,2020-06-07,286194,53803
K02000001,United Kingdom,overview,2020-06-06,284868,53640
K02000001,United Kingdom,overview,2020-06-05,283311,53489
K02000001,United Kingdom,overview,2020-06-04,281661,53305
K02000001,United Kingdom,overview,2020-06-03,279856,53122
K02000001,United Kingdom,overview,2020-06-02,277985,52919
K02000001,United Kingdom,overview,2020-06-01,276332,52686
K02000001,United Kingdom,overview,2020-05-31,274762,52487
K02000001,United Kingdom,overview,2020-05-30,272826,52292
K02000001,United Kingdom,overview,2020-05-29,271222,52073
K02000001,United Kingdom,overview,2020-05-28,269127,51819
K02000001,United Kingdom,overview,2020-05-27,267240,51531
K02000001,United Kingdom,overview,2020-05-26,265227,51249
K02000001,United Kingdom,overview,2020-05-25,261184,50949
K02000001,United Kingdom,overview,2020-05-24,259559,50670
K02000001,United Kingdom,overview,2020-05-23,257154,50389
K02000001,United Kingdom,overview,2020-05-22,254195,50105
K02000001,United Kingdom,overview,2020-05-21,250908,49805
K02000001,United Kingdom,overview,2020-05-20,248293,49463
K02000001,United Kingdom,overview,2020-05-19,248818,49110
K02000001,United Kingdom,overview,2020-05-18,246406,48738
K02000001,United Kingdom,overview,2020-05-17,243723,48331
K02000001,United Kingdom,overview,2020-05-16,240161,47954
K02000001,United Kingdom,overview,2020-05-15,236711,47535
K02000001,United Kingdom,overview,2020-05-14,233151,47114
K02000001,United Kingdom,overview,2020-05-13,229705,46649
K02000001,United Kingdom,overview,2020-05-12,226463,46195
K02000001,United Kingdom,overview,2020-05-11,223060,45754
K02000001,United Kingdom,overview,2020-05-10,219183,45326
K02000001,United Kingdom,overview,2020-05-09,215260,44832
K02000001,United Kingdom,overview,2020-05-08,211364,44293
K02000001,United Kingdom,overview,2020-05-07,206715,43724
K02000001,United Kingdom,overview,2020-05-06,201101,43093
K02000001,United Kingdom,overview,2020-05-05,194990,42466
K02000001,United Kingdom,overview,2020-05-04,190584,41824
K02000001,United Kingdom,overview,2020-05-03,186599,41148
K02000001,United Kingdom,overview,2020-05-02,182260,40486
K02000001,United Kingdom,overview,2020-05-01,177454,39781
K02000001,United Kingdom,overview,2020-04-30,171253,38995
K02000001,United Kingdom,overview,2020-04-29,165221,38215
K02000001,United Kingdom,overview,2020-04-28,161145,37398
K02000001,United Kingdom,overview,2020-04-27,157149,36597
K02000001,United Kingdom,overview,2020-04-26,152840,35731
K02000001,United Kingdom,overview,2020-04-25,148377,34837
K02000001,United Kingdom,overview,2020-04-24,143464,33918
K02000001,United Kingdom,overview,2020-04-23,138078,32913
K02000001,United Kingdom,overview,2020-04-22,133495,31875
K02000001,United Kingdom,overview,2020-04-21,129044,30773
K02000001,United Kingdom,overview,2020-04-20,124743,29688
K02000001,United Kingdom,overview,2020-04-19,120067,28528
K02000001,United Kingdom,overview,2020-04-18,114217,27406
K02000001,United Kingdom,overview,2020-04-17,108692,26217
K02000001,United Kingdom,overview,2020-04-16,103093,24945
K02000001,United Kingdom,overview,2020-04-15,98476,23623
K02000001,United Kingdom,overview,2020-04-14,93873,22347
K02000001,United Kingdom,overview,2020-04-13,88621,21093
K02000001,United Kingdom,overview,2020-04-12,84279,19861
K02000001,United Kingdom,overview,2020-04-11,78991,18483
K02000001,United Kingdom,overview,2020-04-10,73758,17118
K02000001,United Kingdom,overview,2020-04-09,68052,15799
K02000001,United Kingdom,overview,2020-04-08,63377,14424
K02000001,United Kingdom,overview,2020-04-07,57512,12963
K02000001,United Kingdom,overview,2020-04-06,53624,11670
K02000001,United Kingdom,overview,2020-04-05,49481,10500
K02000001,United Kingdom,overview,2020-04-04,43282,9280
K02000001,United Kingdom,overview,2020-04-03,39282,8133
K02000001,United Kingdom,overview,2020-04-02,34610,7072
K02000001,United Kingdom,overview,2020-04-01,30088,6065
K02000001,United Kingdom,overview,2020-03-31,25521,5141
K02000001,United Kingdom,overview,2020-03-30,22271,4310
K02000001,United Kingdom,overview,2020-03-29,19606,3599
K02000001,United Kingdom,overview,2020-03-28,17104,3013
K02000001,United Kingdom,overview,2020-03-27,14548,2497
K02000001,United Kingdom,overview,2020-03-26,11658,2034
K02000001,United Kingdom,overview,2020-03-25,9529,1621
K02000001,United Kingdom,overview,2020-03-24,8077,1284
K02000001,United Kingdom,overview,2020-03-23,6650,1021
K02000001,United Kingdom,overview,2020-03-22,5683,813
K02000001,United Kingdom,overview,2020-03-21,5018,630
K02000001,United Kingdom,overview,2020-03-20,3983,486
K02000001,United Kingdom,overview,2020-03-19,3269,368
K02000001,United Kingdom,overview,2020-03-18,2626,289
K02000001,United Kingdom,overview,2020-03-17,1950,216
K02000001,United Kingdom,overview,2020-03-16,1543,158
K02000001,United Kingdom,overview,2020-03-15,1391,107
K02000001,United Kingdom,overview,2020-03-14,1061,76
K02000001,United Kingdom,overview,2020-03-13,797,55
K02000001,United Kingdom,overview,2020-03-12,590,39
K02000001,United Kingdom,overview,2020-03-11,456,26
K02000001,United Kingdom,overview,2020-03-10,373,19
K02000001,United Kingdom,overview,2020-03-09,321,16
K02000001,United Kingdom,overview,2020-03-08,271,11
K02000001,United Kingdom,overview,2020-03-07,206,9
K02000001,United Kingdom,overview,2020-03-06,160,9
K02000001,United Kingdom,overview,2020-03-05,114,7
K02000001,United Kingdom,overview,2020-03-04,85,5
K02000001,United Kingdom,overview,2020-03-03,51,4
K02000001,United Kingdom,overview,2020-03-02,40,4
K02000001,United Kingdom,overview,2020-03-01,35,3
K02000001,United Kingdom,overview,2020-02-29,23,3
K02000001,United Kingdom,overview,2020-02-28,19,3
K02000001,United Kingdom,overview,2020-02-27,13,3
K02000001,United Kingdom,overview,2020-02-26,13,3
K02000001,United Kingdom,overview,2020-02-25,13,3
K02000001,United Kingdom,overview,2020-02-24,13,3
K02000001,United Kingdom,overview,2020-02-23,9,3
K02000001,United Kingdom,overview,2020-02-22,9,3
K02000001,United Kingdom,overview,2020-02-21,9,2
K02000001,United Kingdom,overview,2020-02-20,9,2
K02000001,United Kingdom,overview,2020-02-19,9,2
K02000001,United Kingdom,overview,2020-02-18,9,2
K02000001,United Kingdom,overview,2020-02-17,9,2
K02000001,United Kingdom,overview,2020-02-16,9,2
K02000001,United Kingdom,overview,2020-02-15,9,2
K02000001,United Kingdom,overview,2020-02-14,9,2
K02000001,United Kingdom,overview,2020-02-13,9,2
K02000001,United Kingdom,overview,2020-02-12,8,2
K02000001,United Kingdom,overview,2020-02-11,8,2
K02000001,United Kingdom,overview,2020-02-10,8,2
K02000001,United Kingdom,overview,2020-02-09,4,2
K02000001,United Kingdom,overview,2020-02-08,3,2
K02000001,United Kingdom,overview,2020-02-07,3,2
K02000001,United Kingdom,overview,2020-02-06,3,2
K02000001,United Kingdom,overview,2020-02-05,2,2
K02000001,United Kingdom,overview,2020-02-04,2,2
K02000001,United Kingdom,overview,2020-02-03,2,2
K02000001,United Kingdom,overview,2020-02-02,2,2
K02000001,United Kingdom,overview,2020-02-01,2,1
K02000001,United Kingdom,overview,2020-01-31,2,1
K02000001,United Kingdom,overview,2020-01-30,,1
